;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
39;masculino;industria;variedades;cabecera san antonio ;2;80.0;24/07/2017;5000000;credioportuno
40;masculino;industria;fabrica de ;guayabal;2;15.0;2/03/2016;4000000;microempresarial
41;masculino;INDUSTRIA;fabrica de ;belen;2;16.0;24/05/2016;6500000;microempresarial
42;femenino;comercio;comidas rapidas;santander;2;6.0;27/07/2018;1200000;microempresarial
43;FEMENINO;comercio;almacen de ropa en ;prado;3;10.0;20/11/2017;7000000;microempresarial
44;femenino;comercio;comidas rapidas;santa cruz;02;2.0;22/03/2018;1500000;microempresarial
45;masculino;industria;fabrica-de-traperos;ARANJUEZ;3;4.0;24/02/2016;$ 2,000,000.00;microempresarial
46;femenino;comercio;variedades;castilla;3;5.0;15/02/2017;4000000;microempresarial
47;masculino;industria;fabrica de alimentos;san javier no.2;3;13.0;29/02/2016;$ 6,890,000.00;microempresarial
48;femenino;servicio;papeleria;;2;60.0;25/07/2016;5500000;microempresarial
49;masculino;industria;fabrica de ;san javier no.1;1;13.0;15/08/2017;6000000;MICROEMPRESARIAL
50;masculino;servicio;variedades;pedregal;3;6.0;24/04/2017;7000000;microempresarial
51;masculino;comercio;panaderia;cabecera san antonio ;2;80.0;27/04/2017;3000000;microempresarial
52;masculino;servicio;mantenimiento en ;la milagrosa;2;9.0;16/05/2018;7000000;microempresarial
53;masculino;comercio;variedades;la floresta;3;12.0;16/08/2016;6000000;microempresarial
54;femenino;comercio;fabrica de ;san javier no.1;1;13.0;5/10/2017;7300000;microempresarial
55;MASCULINO;comercio;tienda;cabecera san antonio ;3;80.0;21/05/2018;5500000;microempresarial
56;femenino;comercio;tienda de helados;robledo;3;7.0;23/05/2018;7800000;microempresarial
57;femenino;comercio;variedades;tricentenario;3;5.0;27/04/2017;7000000;Microempresarial
58;femenino;comercio;miscelanea;villa hermosa;3;8.0;19/12/2016;6890000;microempresarial
59;Masculino;servicio;mantenimiento en ;andalucia;1;2.0;22/01/2016;6890000;microempresarial
60;FEMENINO;comercio;tienda;bombona_no._1;3;10.0;5/10/2016;4000000;microempresarial
61;masculino;industria;fabrica de ;santa cruz;2;2.0;2016/09/30;6890000;microempresarial
62;femenino;comercio;almacen de ropa en ;manrique oriental;2;3.0;2017/02/8;1200000;microempresarial
63;femenino;comercio;fabrica de ;villa liliam;1;13.0;6/02/2019;7800000;microempresarial
64;masculino;comercio;tienda;kennedy;2;6.0;27/09/2018;5000000;microempresarial
65;femenino;comercio;variedades;robledo;02;7.0;28/10/2016;$ 6,000,000.00;microempresarial
66;femenino;comercio;tienda;santa cruz;2;2.0;4/04/2016;4000000;microempresarial
67;femenino;comercio;variedades;popular;2;1.0;29/02/2016;6500000;microempresarial
68;masculino;comercio;comidas rapidas;doce de octubre no.1;02;6.0;21/05/2018;5000000;microempresarial
69;masculino;servicio;bares;san javier no.1;2;13.0;16/07/2018;5000000;microempresarial
70;masculino;industria;fabrica de ;buenos aires;3;9.0;6/03/2018;7800000;Microempresarial
71;femenino;comercio;peluqueria;pedregal;3;6.0;18/04/2017;7000000;microempresarial
72;femenino;comercio;almacen de ropa en ;robledo;2;7.0;3/07/2018;4000000;microempresarial
73;femenino;comercio;Tienda;robledo;2;7.0;5/09/2018;5000000;microempresarial
74;femenino;comercio;peluqueria;robledo;2;7.0;3/05/2018;6000000;microempresarial
75;femenino;agropecuaria;criadero de animales ;la floresta;2;12.0;14/06/2016;6890000;microempresarial
76;masculino;comercio;almacen de ropa en ;popular;1;1.0;18/10/2018;7800000;microempresarial
77;masculino;comercio;tienda;la milagrosa;3;9.0;20/02/2018;5000000;microempresarial
78;femenino;comercio;papeleria;;2;7.0;28/11/2016;6890000;microempresarial
79;femenino;comercio;restaurante;enciso;03;8.0;9/03/2017;7000000;microempresarial
80;femenino;servicio;organización y ;pedregal;3;6.0;12/10/2017;$ 7,377,000.00;microempresarial
81;femenino;industria;fabrica de ;el salvador;2;9.0;6/06/2017;7377000;microempresarial
82;Femenino;industria;Fabrica De ;manrique central no. 1;2;4.0;27/04/2018;3000000;microempresarial
83;masculino;servicio;RESTAURANTE;belen;3;16.0;3/04/2017;7350000;microempresarial
84;femenino;comercio;variedades;buenos aires;3;9.0;20/06/2017;1000000;microempresarial
85;masculino;comercio;tienda;ARANJUEZ;1;4.0;4/09/2017;3000000;microempresarial
86;femenino;servicio;peluqueria;el salvador;2;60.0;19/09/2017;3000000;MICROEMPRESARIAL
87;femenino;industria;fabrica de ;la esperanza;1;6.0;12/04/2018;3000000;microempresarial
88;femenino;comercio;panaderia;playon de los ;2;2.0;22/11/2016;6000000;Microempresarial
89;femenino;comercio;almacen de ropa en ;santa cruz;2;2.0;21/02/2017;6000000;microempresarial
90;masculino;comercio;tienda;robledo;1;7.0;18/12/2017;5000000;microempresarial
91;femenino;comercio;comidas rapidas;robledo;3;7.0;29/01/2018;7800000;microempresarial
92;femenino;industria;fabrica de ;barrio caicedo;2;9.0;16/03/2017;5000000;microempresarial
93;masculino;Servicio;variedades;santo domingo savio ;1;1.0;28/02/2018;7000000;microempresarial
94;femenino;comercio;variedades;aranjuez;2;4.0;25/08/2016;3000000;microempresarial
95;masculino;servicio;comidas_rapidas;robledo;2;7.0;29/03/2017;7377000;microempresarial
96;femenino;comercio;tienda;popular;2;1.0;29/06/2017;7300000;microempresarial
97;femenino;comercio;almacen de ropa en ;robledo;2;7.0;9/03/2017;$ 6,000,000.00;microempresarial
98;masculino;comercio;tienda;el salvador;3;9.0;12/04/2016;1000000;microempresarial
99;femenino;comercio;miscelanea;centro admtivo;1;10.0;15/02/2018;5000000;microempresarial
100;femenino;comercio;variedades;doce de octubre no.1;2;6.0;2017/03/2;3000000;microempresarial
101;masculino;comercio;fabrica de ;centro admtivo;2;10.0;24/01/2018;$ 4,500,000.00;Microempresarial
102;femenino;comercio;fabrica de alimentos;campo valdes no. 2;1;3.0;24/11/2017;3000000;microempresarial
103;masculino;comercio;variedades;campo valdes no. 1;3;4.0;6/06/2018;4000000;microempresarial
104;femenino;servicio;fabrica de arepas;villa hermosa;3;8.0;24/08/2016;1050000;microempresarial
105;femenino;industria;carpinteria;belen;3;16.0;30/01/2018;7800000;microempresarial
106;femenino;Comercio;variedades;Calasanz;3;12.0;16/05/2018;3000000;microempresarial
107;femenino;industria;fabrica de ;;2;1.0;15/06/2016;6890000;microempresarial
108;femenino;servicio;variedades;las palmas;2;10.0;22/12/2017;$ 4,400,000.00;microempresarial
109;masculino;comercio;tienda;girardot;3;5.0;16/05/2019;8200000;microempresarial
110;masculino;servicio;drogueria;cabecera san cristobal;2;60.0;12/07/2018;7800000;microempresarial
111;femenino;industria;fabrica de ;moravia;2;4.0;1/06/2018;7800000;microempresarial
112;femenino;comercio;tienda;enciso;2;8.0;18/04/2017;$ 7,000,000.00;microempresarial
113;femenino;comercio;ALMACEN DE ROPA EN ;cabecera san antonio ;2;80.0;9/02/2017;7377000;microempresarial
114;Femenino;comercio;tienda de helados;san javier no.1;2;13.0;27/09/2017;30000000;empresarial ed. 
115;femenino;comercio;almacen de ropa en ;antonio nariño;2;13.0;16/08/2016;6890000;microempresarial
116;masculino;comercio;productos de mar;santa cruz;2;2.0;2018/06/7;2500000;microempresarial
117;femenino;agropecuaria;criadero de animales ;cabecera san antonio ;2;80.0;5/12/2017;7300000;microempresarial
118;masculino;servicio;cafe e internet;moravia;3;4.0;13/02/2018;3000000;microempresarial
119;femenino;industria;fabrica de ;popular;2;1.0;24/08/2018;7800000;microempresarial
120;masculino;industria;ebanistaria;manrique oriental;2;3.0;6/12/2016;6500000;microempresarial
121;femenino;comercio;variedades;las palmas;2;8.0;22/05/2018;$ 4,400,000.00;microempresarial
122;masculino;agropecuaria;sembrados;santa elena central;2;90.0;26/07/2017;10000000;agropecuaria
123;femenino;comercio;variedades;aranjuez;3;4.0;2/02/2018;36;microempresarial
124;masculino;industria;fabrica de calzado;el_socorro;2;13.0;12/12/2017;7370000;microempresarial
125;masculino;industria;fabrica de ;doce de octubre no.1;1;6.0;27/07/2016;6800000;microempresarial
126;femenino;comercio;fabrica_de_helados;manrique central no. 1;2;4.0;4/10/2016;6000000;microempresarial
127;femenino;comercio;miscelanea;lopez de mesa;3;7.0;18/10/2017;2000000;microempresarial
128;femenino;comercio;bares;aures no. 2;2;7.0;1/03/2019;2500000;microempresarial
129;masculino;servicio;variedades;popular;2;1.0;31/08/2017;5000000;microempresarial
130;femenino;comercio;miscelanea;buenos aires;02;9.0;24/01/2017;7370000;microempresarial
131;femenino;comercio;papeleria;cabecera san antonio ;2;80.0;11/12/2018;2000000;microempresarial
132;Masculino;servicio;restaurante;centro admtivo;3;10.0;8/11/2017;4000000;microempresarial
133;femenino;comercio;carniceria;robledo;3;7.0;13/10/2017;4000000;microempresarial
134;femenino;industria;fabrica de ;castilla;2;5.0;18/01/2019;8200000;microempresarial
135;femenino;comercio;comidas rapidas;san_jose_de_la_cima_no._;01;3.0;16/02/2018;2000000;microempresarial
136;femenino;servicio;comidas rapidas;palermo;1;4.0;18/08/2016;3500000;microempresarial
137;masculino;servicio;tienda;13 de noviembre;1;8.0;2017/08/15;7200000;microempresarial
138;femenino;servicio;mantenimiento en ;tejelo;3;5.0;3/04/2017;7377000;microempresarial
139;femenino;industria;fabrica de ;doce de octubre no.1;1;6.0;15/04/2016;2000000;microempresarial
140;femenino;COMERCIO;variedades;francisco antonio zea;2;5.0;9/02/2018;781000;microempresarial
141;femenino;comercio;tienda;picacho;1;6.0;29/05/2019;8200000;microempresarial
142;masculino;comercio;almacen de ropa en ;girardot;3;5.0;23/02/2017;3000000;microempresarial
143;masculino;industria;carpinteria;manrique oriental;1;3.0;16/12/2016;6900000;microempresarial
144;femenino;servicio;peluqueria;buenos aires;3;9.0;2017/06/13;7377000;microempresarial
145;femenino;comercio;variedades;el salvador;2;9.0;27/10/2017;6500000;microempresarial
146;Masculino;servicio;cafeteria;santa elena central;2;90.0;16/05/2016;6000000;microempresarial
147;masculino;servicio;barberia;robledo;2;7.0;8/05/2018;6000000;microempresarial
148;MASCULINO;comercio;peluqueria;BELEN;3;16.0;8/06/2018;7800000;microempresarial
149;femenino;Industria;fabrica_de_;la loma oriental;2;60.0;16/12/2016;6890000;microempresarial
150;masculino;servicio;barberia;la loma;1;60.0;24/08/2018;$ 7,800,000.00;microempresarial
151;femenino;servicio;cafe e internet;buenos aires;3;9.0;5/12/2016;6890000;microempresarial
152;femenino;servicio;fabrica de ;castilla;3;5.0;9/02/2017;7377000;microempresarial
153;Masculino;comercio;variedades;barrio caicedo;2;9.0;24/10/2017;7300000;microempresarial
154;masculino;industria;fabrica de ;manrique oriental;2;3.0;18/06/2018;$ 4,000,000.00;microempresarial
155;masculino;SERVICIO;peluqueria;robledo;2;7.0;21/02/2018;7000000;microempresarial
156;femenino;servicio;comidas rapidas;florencia;3;5.0;18/10/2018;1500000;microempresarial
157;femenino;comercio;comidas rapidas;andalucia;2;2.0;21/06/2018;5000000;microempresarial
158;masculino;servicio;mantenimiento en ;enciso;03;8.0;2018/09/27;7800000;microempresarial
159;masculino;comercio;comidas rapidas;doce de octubre no.1;2;6.0;24/10/2018;4000000;microempresarial
160;femenino;industria;fabrica de ;manrique central no. 2;2;3.0;12/06/2019;$ 4,500,000.00;microempresarial
161;masculino;industria;fabrica de muebles;cabecera san cristobal;3;60.0;26/10/2018;7800000;microempresarial
162;femenino;comercio;comidas rapidas;aranjuez;3;4.0;13/06/2017;4000000;microempresarial
163;masculino;industria;fabrica_de_alimentos;robledo;3;7.0;1/11/2018;7800000;microempresarial
164;femenino;comercio;tienda;robledo;2;7.0;2017/02/13;5000000;microempresarial
165;femenino;comercio;comidas rapidas;san javier no.1;1;13.0;14/03/2018;7800000;microempresarial
166;femenino;servicio;cafe e internet;robledo;1;7.0;24/06/2016;6000000;microempresarial
167;FEMENINO;industria;fabrica_de_;manrique central no. 1;1;4.0;13/11/2018;$ 2,500,000.00;microempresarial
168;femenino;comercio;legumbreria;manrique central no. 2;2;3.0;14/04/2016;6000000;microempresarial
169;masculino;servicio;cafe e internet;buenos aires;3;9.0;6/02/2018;4000000;microempresarial
170;femenino;comercio;variedades;robledo;1;7.0;24/08/2018;7800000;microempresarial
171;femenino;industria;fabrica de ;la floresta;2;13.0;21/12/2018;5000000;microempresarial
172;femenino;comercio;variedades;cabecera san antonio ;2;80.0;17/06/2016;6800000;microempresarial
173;masculino;comercio;panaderia;pedregal alto;3;60.0;4/12/2017;7000000;microempresarial
174;masculino;comercio;ferreteria;villa_del_socorro;1;2.0;15/02/2018;7800000;microempresarial
175;Femenino;comercio;variedades;buenos aires;3;9.0;1/08/2018;1000000;microempresarial
176;femenino;industria;fabrica de ;la_libertad;2;8.0;31/05/2018;7800000;microempresarial
177;femenino;comercio;variedades;EL CHAGUALO;3;10.0;25/05/2018;7800000;microempresarial
178;femenino;comercio;miscelanea;POPULAR;1;1.0;26/10/2016;4000000;microempresarial
179;femenino;industria;fabrica de arepas;san javier no.1;3;13.0;15/06/2016;6500000;microempresarial
180;femenino;industria;fabrica_de_;aranjuez;2;4.0;2018/03/22;3400000;microempresarial
181;MASCULINO;comercio;comidas rapidas;popular;2;1.0;22/11/2017;4000000;microempresarial
182;masculino;comercio;tienda;PICACHO;1;6.0;4/05/2018;7000000;microempresarial
183;femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;25/01/2019;5000000;microempresarial
184;femenino;servicio;tienda;enciso;2;8.0;25/04/2017;5000000;microempresarial
185;femenino;industria;fabrica de ;santa cruz;2;2.0;17/07/2018;7800000;microempresarial
186;masculino;industria;fabrica de ;trinidad;3;15.0;19/05/2016;3000000;microempresarial
187;femenino;comercio;fabrica de arepas;barrio caicedo;2;9.0;20/03/2019;4000000;microempresarial
188;femenino;industria;fabrica de ;robledo;2;7.0;17/08/2018;5000000;microempresarial
189;femenino;comercio;variedades;el poblado;3;14.0;16/06/2017;7000000;microempresarial
190;Femenino;comercio;comidas rapidas;santa cruz;2;2.0;3/12/2018;6000000;microempresarial
191;masculino;comercio;almacen de ropa en ;santa cruz;2;2.0;5/02/2019;8000000;microempresarial
192;femenino;industria;carpinteria;cabecera san antonio ;2;80.0;15/09/2016;6500000;microempresarial
193;masculino;servicio;recreativo-educativo;cabecera san cristobal;3;60.0;6/02/2019;7800000;microempresarial
194;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;27/06/2019;8281000;microempresarial
195;masculino;industria;fabrica de repuestos ;LA FLORESTA;2;12.0;9/07/2018;7800000;microempresarial
196;femenino;comercio;tienda;la francia;2;2.0;8/04/2019;6000000;microempresarial
197;femenino;servicio;restaurante;;3;9.0;11/10/2018;4000000;microempresarial
198;masculino;servicio;comidas rapidas;castilla;02;5.0;26/04/2016;6890000;microempresarial
199;femenino;servicio;distribuidora de ;san javier no.1;2;13.0;3/04/2017;7000000;microempresarial
200;masculino;INDUSTRIA;fabrica de repuestos ;guayabal;3;15.0;29/12/2017;7300000;microempresarial
201;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;21/08/2018;3000000;microempresarial
202;femenino;comercio;almacen de ropa en ;20 de julio;1;13.0;8/06/2018;2000000;microempresarial
203;masculino;comercio;Variedades;la milagrosa;3;9.0;9/03/2018;5000000;microempresarial
204;femenino;servicio;peluqueria;aranjuez;2;4.0;24/09/2018;7800000;microempresarial
205;femenino;servicio;recreativo-educativo;castilla;3;5.0;17/12/2018;7500000;microempresarial
206;masculino;COMERCIO;distribuidora de ;villa hermosa;3;8.0;4/08/2017;7300000;microempresarial
207;femenino;comercio;restaurante;manrique central no. 1;2;4.0;27/09/2018;6000000;microempresarial
208;FEMENINO;comercio;almacen de ropa en ;buenos aires;3;9.0;14/06/2017;$ 7,300,000.00;microempresarial
209;FEMENINO;comercio;taller de electronica;barrio caicedo;1;9.0;14/11/2018;3000000;microempresarial
210;femenino;industria;fabrica de ;castilla;3;5.0;4/01/2019;7800000;microempresarial
211;femenino;comercio;variedades;la pradera;2;13.0;10/07/2017;7370000;microempresarial
212;masculino;servicio;productos de belleza;robledo;2;4.0;10/07/2018;5000000;microempresarial
213;femenino;industria;fabrica de muebles;castilla;3;5.0;22/09/2017;4000000;microempresarial
214;masculino;INDUSTRIA;fabrica de ;buenos aires;3;9.0;12/06/2019;2500000;microempresarial
215;femenino;industria;fabrica de ;san pablo;2;1.0;21/02/2018;1000000;microempresarial
216;masculino;comercio;almacen de ropa en ;robledo;02;7.0;10/07/2017;7377000;microempresarial
217;femenino;comercio;tienda;manrique central no. 2;3;3.0;22/05/2019;5000000;microempresarial
218;femenino;comercio;comidas rapidas;robledo;2;7.0;27/01/2017;4000000;microempresarial
219;femenino;comercio;variedades;jardin botanico;2;3.0;30/01/2019;4000000;microempresarial
220;masculino;industria;fabrica de ;manrique oriental;1;3.0;3/10/2018;7800000;microempresarial
221;masculino;servicio;lavanderia;robledo;3;7.0;2018/07/9;7800000;microempresarial
222;femenino;INDUSTRIA;fabrica de ;buenos aires;1;9.0;12/07/2018;4000000;microempresarial
223;femenino;comercio;venta de calzado;belen;2;16.0;19/10/2016;4000000;microempresarial
224;masculino;servicio;taller de electronica;san javier no.1;3;13.0;15/02/2019;8122200;microempresarial
225;Masculino;comercio;tienda;manrique central no. 1;3;4.0;10/05/2018;7800000;microempresarial
226;masculino;comercio;papeleria;el salvador;03;9.0;26/04/2019;7000000;microempresarial
227;masculino;comercio;carpinteria;cabecera san cristobal;2;60.0;1/08/2018;3000000;microempresarial
228;masculino;industria;ebanistaria;belencito;2;13.0;4/11/2016;4000000;microempresarial
229;masculino;industria;Fabrica De ;cabecera san cristobal;2;60.0;19/12/2018;4000000;microempresarial
230;masculino;comercio;tienda;SAN ANTONIO;3;8.0;21/06/2019;4500000;Microempresarial
231;femenino;servicio;criadero de animales ;belen;2;16.0;9/03/2017;4000000;microempresarial
232;femenino;comercio;variedades;miranda;2;4.0;1/02/2018;2000000;microempresarial
233;femenino;industria;fabrica de ;tejelo;3;5.0;24/04/2017;5000000;microempresarial
234;masculino;servicio;recreativo-educativo;la esperanza;3;6.0;7/03/2016;6890000;MICROEMPRESARIAL
235;masculino;industria;ebanistaria;belencito;2;13.0;18/05/2018;$ 2,000,000.00;microempresarial
236;femenino;industria;fabrica de ;las esmeraldas;2;4.0;2018/03/6;3000000;microempresarial
237;femenino;servicio;recreativo-educativo;robledo;2;7.0;19/05/2016;2000000;microempresarial
238;masculino;comercio;comidas rapidas;barrio caicedo;1;9.0;3/10/2018;7500000;microempresarial
239;femenino;;variedades;castilla;3;5.0;21/09/2018;7800000;microempresarial
240;masculino;comercio;restaurante;belen;2;16.0;23/02/2017;5000000;microempresarial
241;masculino;industria;comidas rapidas;moravia;2;4.0;27/06/2018;3500000;microempresarial
242;masculino;industria;fabrica de productos ;santander;2;6.0;18/08/2017;7377000;microempresarial
243;masculino;industria;panaderia;castilla;2;5.0;16/05/2017;$ 7,370,000.00;microempresarial
244;femenino;comercio;variedades;buenos aires;3;9.0;15/02/2017;$ 6,800,000.00;microempresarial
245;masculino;Industria;fabrica de ;campo valdes no. 1;2;4.0;7/03/2018;6000000;microempresarial
246;femenino;comercio;almacen de ropa en ;aranjuez;2;4.0;13/08/2018;$ 7,812,242.00;microempresarial
247;femenino;servicio;mantenimiento en ;doce de octubre no.1;1;6.0;27/01/2017;6000000;microempresarial
248;femenino;comercio;variedades;santander;2;6.0;21/06/2018;6000000;microempresarial
249;femenino;industria;fabrica de ;campo valdes no. 1;3;4.0;30/11/2017;7000000;microempresarial
250;masculino;comercio;Tienda De Helados;campo valdes no. 1;2;4.0;11/04/2016;6890000;microempresarial
251;masculino;comercio;tienda;belencito;2;13.0;10/03/2016;6890000;microempresarial
252;femenino;servicio;peluqueria;campo valdes no. 1;3;4.0;2018/04/3;7800000;microempresarial
253;masculino;servicio;organización_y_;florencia;3;5.0;21/08/2018;6000000;microempresarial
254;femenino;industria;fabrica de ;santa cruz;2;2.0;9/07/2018;4500000;microempresarial
255;masculino;comercio;variedades;robledo;2;7.0;17/01/2017;7377000;microempresarial
256;masculino;industria;fabrica de ;pablo vi;2;2.0;2017/05/16;7000000;microempresarial
257;femenino;servicio;comidas rapidas;boyaca;3;5.0;6/03/2018;6000000;microempresarial
258;masculino;servicio;variedades;robledo;2;7.0;30/12/2016;4000000;microempresarial
259;femenino;comercio;tienda;manrique central no. 2;2;3.0;6/05/2016;3500000;microempresarial
260;femenino;industria;fabrica de ;robledo;2;7.0;10/07/2018;3800000;microempresarial
261;masculino;comercio;cafeteria;santa_cruz;2;2.0;8/08/2018;7800000;microempresarial
262;femenino;comercio;variedades;belen;3;16.0;12/07/2017;7370000;microempresarial
263;femenino;comercio;variedades;la francia;2;2.0;1/08/2018;6000000;microempresarial
264;masculino;comercio;legumbreria;pedregal;3;6.0;15/03/2018;7800000;microempresarial
265;masculino;comercio;Variedades;campo valdes no. 1;3;4.0;7/03/2018;7000000;microempresarial
266;masculino;comercio;restaurante;boyaca;3;5.0;5/05/2017;6000000;microempresarial
267;femenino;industria;fabrica de ;;2;8.0;17/11/2016;6000000;microempresarial
268;femenino;comercio;almacen_de_ropa_en_;robledo;1;7.0;17/05/2017;6000000;microempresarial
269;femenino;comercio;variedades;prado;3;10.0;18/04/2016;6890000;microempresarial
270;femenino;servicio;servicios ;robledo;2;7.0;19/07/2017;7300000;microempresarial
271;femenino;comercio;distribuidora de ;cabecera san cristobal;2;60.0;17/08/2017;4000000;microempresarial
272;femenino;industria;fabrica-de-;picacho;1;6.0;7/09/2016;4000000;microempresarial
273;femenino;comercio;FABRICA_DE_;santa cruz;2;2.0;18/07/2018;7812000;microempresarial
274;masculino;industria;fabrica de ;doce de octubre no.1;1;6.0;31/05/2017;$ 5,000,000.00;microempresarial
275;femenino;comercio;Variedades;picacho;2;6.0;4/07/2018;5000000;microempresarial
276;femenino;servicio;mantenimiento en ;san joaquin;3;11.0;9/08/2018;7800000;microempresarial
277;femenino;comercio;variedades;castilla;3;5.0;2/09/2016;6000000;microempresarial
278;masculino;servicio;MANTENIMIENTO EN ;la america;3;12.0;10/05/2016;6890000;microempresarial
279;masculino;industria;fabrica de ;robledo;2;7.0;15/11/2017;5000000;microempresarial
280;femenino;comercio;comidas rapidas;manrique oriental;2;7.0;30/05/2018;7800000;microempresarial
281;femenino;industria;fabrica de ;manrique central no. 2;2;3.0;29/01/2018;7800000;microempresarial
282;Femenino;servicio;cafe e internet;san javier no.1;1;13.0;31/10/2018;$ 3,000,000.00;microempresarial
283;masculino;comercio;comidas rapidas;enciso;2;8.0;12/06/2019;8000000;Microempresarial
284;femenino;comercio;tienda;campo valdes no. 1;3;4.0;25/02/2016;300000;microempresarial
285;femenino;comercio;almacen de ropa en ;villa niza;2;2.0;12/04/2018;5000000;microempresarial
286;masculino;comercio;almacen de ropa en ;barrio caicedo;1;9.0;14/08/2018;5500000;MICROEMPRESARIAL
287;femenino;INDUSTRIA;fabrica de ;la francia;2;2.0;1/11/2016;6890000;microempresarial
288;masculino;comercio;distribuidora de ;el pinal;2;8.0;3/04/2019;8281000;microempresarial
289;femenino;industria;fabrica de ;buenos-aires;3;9.0;11/03/2019;8000000;microempresarial
290;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;24/04/2018;5000000;microempresarial
291;masculino;comercio;restaurante;la colina;3;15.0;20/06/2017;4000000;microempresarial
292;femenino;industria;fabrica de ;santander;3;6.0;8/02/2017;3500000;microempresarial
293;masculino;industria;fabrica de ;campo valdes no. 1;2;4.0;2017/12/6;7300000;microempresarial
294;femenino;industria;variedades;aranjuez;03;4.0;11/10/2018;3000000;microempresarial
295;femenino;servicio;mantenimiento en ;buenos aires;1;9.0;16/11/2017;7000000;microempresarial
296;masculino;comercio;variedades;robledo;2;7.0;26/01/2018;5000000;microempresarial
297;masculino;comercio;comidas rapidas;aranjuez;2;4.0;10/05/2018;1500000;microempresarial
298;FEMENINO;industria;fabrica de repuestos ;san benito;3;10.0;28/05/2018;$ 5,000,000.00;Microempresarial
